subject,relation,object,new_topic,old_index
sugar tender,predict after,"week 's award of 102,350 tonnes at highest rebate",4,189
white sugar tender,predict after,week 's substantial award at highest rebate of 46,4,190
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest rebate",4,191
white sugar tender,predict after,week 's award at highest rebate,4,192
white sugar tender,predict after,last week 's award at ever rebate of 46,4,193
white sugar tender,predict after,last week 's award,4,194
sugar tender,predict after,last week 's substantial award at rebate,4,195
sugar tender,predict after,"week 's award of 102,350 tonnes at highest ever rebate of 46",4,196
sugar tender,predict after,week 's award at rebate,4,197
white sugar tender,predict after,"week 's award of 102,350 tonnes at rebate of 46",4,198
sugar tender,predict after,"last week 's award of 102,350 tonnes at ever rebate of 46",4,199
sugar tender,predict after,"week 's award of 102,350 tonnes at rebate of 46",4,200
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at ever rebate of 46",4,201
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at rebate of 46",4,202
white sugar tender,predict after,week 's award,4,203
sugar tender,predict after,last week 's substantial award at highest rebate,4,204
sugar tender,predict after,week 's substantial award at highest rebate of 46,4,205
white sugar tender,predict after,"week 's award of 102,350 tonnes at highest rebate",4,206
white sugar tender,predict after,"week 's award of 102,350 tonnes at ever rebate",4,207
sugar tender,predict after,"week 's award of 102,350 tonnes at ever rebate of 46",4,208
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at ever rebate of 46",4,209
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at ever rebate of 46",4,210
white sugar tender,predict after,"last week 's award of 102,350 tonnes at highest ever rebate of 46",4,211
white sugar tender,predict after,week 's substantial award at highest ever rebate of 46,4,212
white sugar tender,predict after,"last week 's award of 102,350 tonnes at rebate",4,213
white sugar tender,predict after,last week 's award at highest rebate of 46,4,214
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at rebate of 46",4,215
white sugar tender,predict after,last week 's substantial award at highest ever rebate,4,216
white sugar tender,predict after,"week 's award of 102,350 tonnes at highest rebate of 46",4,217
sugar tender,predict after,"last week 's award of 102,350 tonnes",4,218
white sugar tender,predict after,week 's award at rebate,4,219
white sugar tender,predict after,week 's award at highest ever rebate of 46,4,220
white sugar tender,predict after,last week 's award at highest rebate,4,221
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at rebate of 46",4,222
white sugar tender,predict after,last week 's substantial award at ever rebate of 46,4,223
white sugar tender,predict after,last week 's substantial award at highest rebate,4,224
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes",4,225
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at rebate",4,226
sugar tender,predict after,last week 's award at rebate of 46,4,227
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at ever rebate",4,228
sugar tender,predict after,"last week 's award of 102,350 tonnes at rebate of 46",4,229
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest rebate of 46",4,230
arrival,is in,June,4,231
CALLS,has,TENDER,4,232
CALLS,has,white,4,233
CALLS,has,TRADE,4,234
ANHEUSER BUSCH,JOINS,BID,6,235
ANHEUSER BUSCH,JOINS BID FOR,SAN MIGUEL Anheuser Busch Companies Inc BUD,6,236
SPOTLIGHT,is,ECONOMIC,2,237
oil palm growers,told,Reuters,4,238
Malaysia,is,output,4,239
Malaysia,is,unlikely,4,240
Malaysia,is,mln,4,241
Malaysia,is,tonnes,4,242
MATHESON,SETS,IT,5,243
MATHESON,SETS,FOR,5,244
OFFICIAL,TAKES,DATA,5,247
Vice Minister Makoto Kuroda,leaves at_time,today,5,248
MICROCHIP,TALKS,Ministry,5,249
MICROCHIP,TALKS,MITI,5,250
MICROCHIP,TALKS,Ministry of International Trade,5,251
JAPANESE OFFICIAL,TAKES,DATA,5,252
OFFICIAL,is,JAPANESE,5,253
MICROCHIP,TALKS,today,5,254
MICROCHIP,TALKS,data,5,255
MICROCHIP,TALKS,U,5,256
BELL GROUP,CONFIRMS,STANDARD CHARTERED STAKE Bell Group Ltd,6,257
NIPPON STEEL,DENIES,CHINA PLANTS,5,258
NIPPON STEEL,DENIES,CHINA JAPANESE PLANTS,5,259
NIPPON STEEL,DENIES,CHINA SEEKING PLANTS,5,260
NIPPON STEEL,DENIES,CHINA SEEKING JAPANESE PLANTS,5,261
JARDINE MATHESON,REPLACES,B SHARE BONUS ISSUE Jardine Matheson Holdings Ltd,6,262
JARDINE MATHESON,REPLACES,B SHARE BY BONUS ISSUE Jardine Matheson Holdings Ltd,6,263
JARDINE MATHESON,REPLACES,JARD,6,264
B,REPLACES,SHARE,6,265
INFLATION,is,INDONESIAN,2,267
HIT,DEAL,MORE,6,268
HIT,DEAL,LAWSUITS,6,269
HIT,DEAL,bid,6,270
TRADERS,is,FRENCH,4,272
EC,is,2,4,273
DUTCH,has,PROFIT,3,275
DUTCH,is at,PROFIT,3,276
PROFIT,owned,state,3,277
PROFIT,owned,Dutch,3,278
PROFIT,owned,chemical,3,279
PROFIT,owned,firm,3,280
CINCINNATI BELL,has started,its announced 15,6,281
it,has started,its previously announced 15,6,282
CINCINNATI BELL,has started,its previously announced 15,6,283
it,has started,its announced 15,6,284
Inc,has,it,6,285
increased investment,is in,research,2,286
Inc,expects,first,2,287
cts,Pay,Record,3,288
cts,Pay,prior,3,289
UNILEVER,SEEKS,BUYER FOR STAUFFER CHEMICAL Unilever Plc,6,290
UNILEVER,SEEKS,BUYER,6,291
CORP,HAS,IT,6,292
CORP,HAS,PARTIES,6,293
CONRAC,has started,negotiations with parties,6,294
CONRAC,has started,negotiations with parties on its possible acquisition,6,295
CONRAC,has started,negotiations on its possible acquisition,6,296
CAX,is IN,MERGER,6,297
CONRAC,has started,negotiations,6,298
CONRAC,has started,negotiations with several interested parties on its possible acquisition,6,299
CONRAC,has started,negotiations with several parties,6,300
CONRAC,has started,negotiations with several interested parties,6,301
CONRAC,has started,negotiations with interested parties on its possible acquisition,6,302
CONRAC,has started,negotiations with several parties on its possible acquisition,6,303
negotiations,is with,several interested parties,6,304
CAX,TALKS WITH,SEVERAL Conrac Corp sait,6,305
CONRAC,has started,negotiations with interested parties,6,306
it,continue,year comparisons in remaining quarter of 1987,3,314
it,continue,year to year comparisons in remaining quarter of 1987,3,315
it,continue,favorable year comparisons in remaining quarter of 1987,3,316
it,expects,to continue,3,317
it,continue,recording favorable year comparisons in remaining quarter of 1987,3,318
it,continue,recording favorable year to year comparisons in remaining quarter of 1987,3,319
it,continue,favorable year to year comparisons in remaining quarter of 1987,3,320
it,continue,recording year to year comparisons in remaining quarter of 1987,3,321
it,continue,recording year comparisons in remaining quarter of 1987,3,322
recording favorable year comparisons,is in,remaining quarter of 1987,3,323
Shr,given,cts,3,326
Shr,given,Net,3,327
Shr,given,1st,3,328
Shr,given,half,3,329
UNEMPLOYMENT,was,steady,2,331
SWEDISH UNEMPLOYMENT,was steady at,2,2,332
SWEDISH UNEMPLOYMENT,was,steady,2,333
UNEMPLOYMENT,was steady at,2,2,334
UNEMPLOYMENT,is,SWEDISH,2,335
UNEMPLOYMENT,was,unemployment,2,336
UNEMPLOYMENT,was,steady,2,337
PROXMIRE,OUTLINES,D Wis,6,341
he,introduce,legislation,6,342
legislation,require disclosure for,shareholders,6,343
PROXMIRE,OUTLINES,INSIDER TRADING LEGISLATION Senate Banking Committee Chairman William Proxmire,6,344
TROY,has,HELEN,3,345
HELEN,is at,TROY,3,346
its earnings,is in,1987,6,351
YEAR Mead Corp,augurs well for,its earnings in 1987,6,352
YEAR Mead Corp,augurs well for,its earnings,6,353
YEAR Mead Corp,augurs for,its earnings,6,354
YEAR Mead Corp,augurs for,its earnings in 1987,6,355
Corp,has,it,6,359
Corp,has,distributor,6,360
Corp,has,undisclosed,6,361
Corp,has,products,6,362
NET,WORK,Shr,3,363
NET,WORK,Net,3,364
NET,WORK,cts,3,365
BASHAW,is,CANADIAN,6,366
Ltd,said,Resources,6,367
it,said had,quarter loss,6,368
it,said had,report,6,369
it,said had,"first quarter loss of 104,357 dlrs",6,370
it,said had,"quarter loss of 104,357 dlrs",6,371
it,said had quarter loss after,"incurring 70,000 dlrs in costs",6,372
it,said had,report for shareholders for London offices,6,373
it,said had,report for shareholders for opening London offices,6,374
it,said had,report for shareholders,6,375
it,said had,report for opening London offices,6,376
it,said had,first quarter loss,6,377
it,said had report after,"incurring 70,000 dlrs in costs",6,378
it,said had report after,"70,000 dlrs",6,379
"incurring 70,000 dlrs",is in,costs for internal audit,6,380
it,said had quarter loss after,"70,000 dlrs in costs",6,381
it,said had quarter loss after,"70,000 dlrs",6,382
"24,000 dlrs",is in,startup expenses,6,383
it,said had quarter loss after,"incurring 70,000 dlrs",6,384
it,said had report after,"70,000 dlrs in costs",6,385
it,said had report after,"incurring 70,000 dlrs",6,386
it,said had,report for London offices,6,387
Inc,said,first,6,388
Inc,said,quarter,6,389
Inc,said,loss,6,390
Inc,said,internal,6,391
Inc,said,dlrs,6,392
SUGAR BEET PLANTING HALF,FINISHED,"half of year 's 130,000 hectare Dutch sugar beet crop",4,396
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"half of year 's 130,000 hectare sugar beet crop",4,397
SUGAR BEET PLANTING HALF,FINISHED,half,4,398
DUTCH SUGAR BEET PLANTING HALF,FINISHED,Roughly half,4,399
SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's expected 130,000 hectare sugar beet crop",4,400
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's expected 130,000 hectare Dutch sugar beet crop",4,401
SUGAR BEET PLANTING HALF,FINISHED,"half of year 's 130,000 hectare sugar beet crop",4,402
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"half of year 's 130,000 hectare Dutch sugar beet crop",4,403
SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's 130,000 hectare sugar beet crop",4,404
DUTCH SUGAR BEET PLANTING HALF,FINISHED,half,4,405
SUGAR BEET PLANTING HALF,FINISHED,"half of year 's expected 130,000 hectare Dutch sugar beet crop",4,406
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's 130,000 hectare Dutch sugar beet crop",4,407
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's expected 130,000 hectare sugar beet crop",4,408
SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's expected 130,000 hectare Dutch sugar beet crop",4,409
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"half of year 's expected 130,000 hectare sugar beet crop",4,410
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's 130,000 hectare sugar beet crop",4,411
largest sugar processor,is in,Netherlands,4,412
SUGAR BEET PLANTING HALF,FINISHED,Roughly half,4,413
SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's 130,000 hectare Dutch sugar beet crop",4,414
SUGAR BEET PLANTING HALF,FINISHED,"half of year 's expected 130,000 hectare sugar beet crop",4,415
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"half of year 's expected 130,000 hectare Dutch sugar beet crop",4,416
SUGAR,is,DUTCH,4,417
it,granted export licences for,"118,350 tonnes of current series white sugar",4,419
it,granted export licences at,export rebate of 46,4,420
it,granted export licences at,export rebate,4,421
it,granted export licences for,"118,350 tonnes of series sugar",4,422
it,granted export licences for,"118,350 tonnes of series white sugar",4,423
it,granted,export licences,4,424
it,granted export licences for,"118,350 tonnes",4,425
it,granted export licences at,maximum export rebate,4,426
it,granted export licences at,maximum export rebate of 46,4,427
it,granted export licences for,"118,350 tonnes of current series sugar",4,428
70 mln dlrs,is in,cash,6,431
Corp,said,long,6,432
Corp,said,term,6,433
MARKETS,ends,QTR,3,436
MARKETS,ends,Net,3,437
MARKETS,ends,NET,3,438
Corp,has,it,6,440
Corp,has,number,6,441
Corp,has,aggregate,6,442
Corp,has,security,6,443
MEDICAL,is,UNIVERSAL,3,444
shareholkders,have approved,"acquisition of its advisor for 600,000 shares",6,446
shareholkders,have approved,"acquisition for 600,000 shares",6,447
shareholkders,have approved,acquisition of its advisor,6,448
shareholkders,have approved,acquisition,6,449
Trust,said,shareholkders,6,450
1986/87 coarse grain crop,is in,week,4,451
COARSE GRAIN LOSSES,FEARED,Argentine grain producers,4,452
FURTHER ARGENTINE COARSE GRAIN LOSSES,FEARED,Argentine grain producers,4,453
FURTHER COARSE GRAIN LOSSES,FEARED,Argentine grain producers,4,454
ARGENTINE COARSE GRAIN LOSSES,FEARED,Argentine grain producers,4,455
unemployment,rose,to end March,2,456
unemployment,rose,"to end March to total 693,000 from 690,600 at end February",2,457
adjusted unemployment,rose,"end March to total 693,000 from 690,600 at end February",2,458
adjusted unemployment,rose,end March,2,459
adjusted unemployment,rose,"to end March to total 693,000 from 690,600",2,460
unemployment,rose,to end March at end February,2,461
unemployment,rose,"to end March to total 693,000 at end February",2,462
adjusted unemployment,rose,"to end March from 690,600 at end February",2,463
adjusted unemployment,rose,"end March to total 693,000 from 690,600",2,464
adjusted unemployment,rose in,month,2,465
adjusted unemployment,rose,"end March from 690,600",2,466
adjusted unemployment,rose,"to end March from 690,600",2,467
unemployment,rose,"end March from 690,600 at end February",2,468
unemployment,rose,end March at end February,2,469
adjusted unemployment,rose,"to end March to total 693,000",2,470
adjusted unemployment,rose,to end March,2,471
unemployment,rose,"to end March from 690,600 at end February",2,472
adjusted unemployment,rose,"end March from 690,600 at end February",2,473
adjusted unemployment,rose,to end March at end February,2,474
adjusted unemployment,rose,"end March to total 693,000",2,475
unemployment,rose,"end March to total 693,000 at end February",2,476
adjusted unemployment,rose,"end March to total 693,000 at end February",2,477
unemployment,rose,"end March to total 693,000 from 690,600 at end February",2,478
adjusted unemployment,rose,"to end March to total 693,000 from 690,600 at end February",2,479
unemployment,rose,"end March to total 693,000 from 690,600",2,480
unemployment,rose,"to end March from 690,600",2,481
unemployment,rose,"to end March to total 693,000",2,482
unemployment,rose,"to end March to total 693,000 from 690,600",2,483
adjusted unemployment,rose,"to end March to total 693,000 at end February",2,484
unemployment,rose,end March,2,485
unemployment,rose,"end March from 690,600",2,486
unemployment,rose in,month,2,487
unemployment,rose,"end March to total 693,000",2,488
adjusted unemployment,rose,end March at end February,2,489
Reader,has,Digest Association Inc,6,491
READER 'S DIGEST ASSOCIATION,SELLS,UNIT,6,492
Inc,said,subsidiary,6,493
merger,is with,Bristol Myers Co,6,497
Inc,has,it,6,498
Inc,has,sale,6,499
Inc,has,undisclosed,6,500
Inc,has,subsidiary,6,501
FINANCIAL,is,0,3,505
TEXTILE CALLS,REPORT,BURLINGTON RUMOR DOMINION TEXTILE,6,506
TEXTILE CALLS,REPORT,FOR BURLINGTON RUMOR DOMINION TEXTILE,6,507
CALLS,REPORT FOR,BURLINGTON RUMOR,6,508
CALLS,REPORT OF,BID,6,509
TEXTILE CALLS,REPORT OF,BID,6,510
CALLS,REPORT,RUMOR,6,511
cts,Pay,prior,3,514
IBCP,Pay at_time,April 20 Record April 10,3,515
BANK,is,INDEPENDENT,3,516
FINANCIAL,is,0,3,519
stake,is in,Burlington Industries Inc,6,520
Inc,published,joint,6,521
Inc,published,report,6,522
RAYTHEON RTN NET,RISES ON,OPERATIONS Raytheon,2,523
10 pct rise,is in,its first quarter net,2,524
Raytheon,said,first,2,525
GRL 4TH QTR LOSS,Ended,Feb 28 Shr loss 2,3,526
4TH,Ended,QTR,3,527
EXPORTERS,LIMIT,Major,7,528
EXPORTERS,LIMIT,SALES,7,529
EXPORTERS,LIMIT,likely,7,530
EXPORTERS,LIMIT,cocoa,7,531
"52,500 tonnes",is in,bulk,4,532
HONDURAS,will tender at_time,April 13,4,533
Honduras,tender,various,4,534
Honduras,tender,tonnes,4,535
STORAGE PROBLEMS Storage problems,is with,Brazil 's record grain crop,4,538
BRAZIL GRAIN HARVEST,FACES,STORAGE PROBLEMS Storage problems,4,539
BRAZIL GRAIN HARVEST,FACES,STORAGE PROBLEMS Storage problems with Brazil 's record grain crop,4,540
crop,are,likely,4,541
increase,is in,shares of company 's authorized common stock,3,542
FLT SHAREHOLDERS,APPROVE,SHARE INCREASE Fleet Financial Group,3,543
REUTERS CHAIRMAN URGES,should abolish,their restrictions on full dissemination of information,5,545
