subject,relation,object,new_topic,old_index
accounting irregularities,were,after uncovered at company,4,242
Senior Fannie Mae bosses,resign,two most senior executives,4,243
Senior Fannie Mae bosses,resign,two senior executives,4,244
irregularities,were,uncovered,4,245
irregularities,were uncovered at,company,4,246
irregularities,were,after uncovered at company,4,247
accounting irregularities,were uncovered at,company,4,248
accounting irregularities,were,uncovered,4,249
Fannie Mae bosses,resign,two senior executives,4,250
accounting irregularities,were,after uncovered,4,251
Fannie Mae bosses,resign,two most senior executives,4,252
Senior Fannie Mae bosses,resign,two executives,4,253
irregularities,were,after uncovered,4,254
Fannie Mae bosses,resign,two executives,4,255
Fannie,is,Senior,4,256
Yukos owner,sues Russia for,28bn majority owner of Russian oil firm Yukos,4,257
Yukos owner,sues Russia for,28bn majority owner,4,258
Yukos owner,sues Russia for,28bn majority owner of embattled oil firm Yukos,4,259
Yukos owner,sues,Russia,4,260
Yukos owner,sues Russia for,28bn majority owner of embattled Russian oil firm Yukos,4,261
Yukos owner,sues Russia for,28bn majority owner of oil firm Yukos,4,262
majority,embattled,Russian,4,263
majority,embattled,oil,4,264
Bargain calls,widen,has widened losses after heavy spending on new cut rate phone service,5,265
Bargain calls,widen,losses,5,266
Bargain calls,widen,Softbank loss communications Softbank,5,267
Bargain calls,widen,has widened losses after heavy spending on cut rate phone service,5,268
Bargain calls,widen,has widened losses,5,269
Bargain calls,widen,has widened losses after spending on new cut rate phone service,5,270
Bargain calls,widen,losses after heavy spending,5,271
Bargain calls,widen,Softbank loss communications firm Softbank,5,272
Bargain calls,widen,Softbank loss Japanese communications Softbank,5,273
Bargain calls,widen,Softbank loss Japanese communications firm Softbank,5,274
Bargain calls,widen,losses after spending,5,275
Bargain calls,widen,losses after heavy spending on cut rate phone service,5,276
Bargain calls,widen,losses after heavy spending on new cut rate phone service,5,277
Bargain calls,widen,losses after spending on new cut rate phone service,5,278
Bargain calls,widen,has widened losses after spending on cut rate phone service,5,279
Bargain calls,widen,losses after spending on cut rate phone service,5,280
Bargain calls,widen,has widened losses after spending,5,281
Bargain calls,widen,has widened losses after heavy spending,5,282
Irish company,hit in,Irish oil company Petrel Resources,5,283
contract,is in,Iraq,5,284
Irish company,hit by,report Shares,5,285
Irish company,hit by,Iraqi report Shares,5,286
company,hit in,oil company Petrel Resources,5,287
company,hit in,Irish oil company Petrel Resources,5,288
Irish company,hit in,oil company Petrel Resources,5,289
company,hit by,report Shares,5,290
company,hit by,Iraqi report Shares,5,291
company,is,Irish,5,292
UK homes,hit,Â,5,294
property slowdown Government figures,confirmed,reported slowdown in late 2004,5,295
property slowdown Government figures,confirmed,widely reported slowdown,5,296
property slowdown Government figures,confirmed,widely reported slowdown of UK 's housing market in late 2004,5,297
property slowdown Government figures,confirmed,widely reported slowdown of UK 's housing market,5,298
property slowdown Government figures,confirmed,slowdown of UK 's housing market in late 2004,5,299
property slowdown Government figures,confirmed,reported slowdown,5,300
reported slowdown,is in,late 2004,5,301
property slowdown Government figures,confirmed,reported slowdown of UK 's housing market,5,302
property slowdown Government figures,confirmed,widely reported slowdown in late 2004,5,303
property slowdown Government figures,confirmed,slowdown,5,304
property slowdown Government figures,confirmed,reported slowdown of UK 's housing market in late 2004,5,305
property slowdown Government figures,reported slowdown of,UK 's housing market,5,306
property slowdown Government figures,confirmed,slowdown of UK 's housing market,5,307
property slowdown Government figures,reported slowdown in,late 2004,5,308
property slowdown Government figures,confirmed,slowdown in late 2004,5,309
figures,have,late,5,310
Japanese mogul arrested,was,arrested on Thursday on charges of shareholder information,4,311
Japanese mogul arrested,was arrested on,Thursday,4,312
mogul arrested,was arrested on,charges of shareholder information,4,313
mogul arrested,was,arrested,4,314
mogul arrested,was arrested on,charges of falsifying shareholder information,4,315
mogul arrested,was,arrested on Thursday on charges of shareholder information,4,316
Japanese mogul arrested,was,arrested on Thursday on charges,4,317
Japanese mogul arrested,was arrested on,charges,4,318
mogul arrested,was,arrested on Thursday on charges of falsifying shareholder information,4,319
Japanese mogul arrested,was,arrested,4,320
mogul arrested,was arrested on,charges,4,321
mogul arrested,was,arrested on Thursday on charges,4,322
mogul arrested,was arrested on,Thursday,4,323
Japanese mogul arrested,was arrested on,charges of falsifying shareholder information,4,324
Japanese mogul arrested,was arrested on,charges of shareholder information,4,325
Japanese mogul arrested,was,arrested on Thursday on charges of falsifying shareholder information,4,326
mogul,is,Japanese,4,327
MCI shares,climb on,takeover bid Shares,5,328
it,is in,takeover talks,5,329
MCI shares,climb in,US phone company MCI,5,330
Winter freeze,keeps,oil,5,331
Winter freeze,keeps oil above,50 Oil prices,5,332
rule,is,Golden,5,333
rule,is at,boost,5,334
rule,has,boost,5,335
rule,has,Â,5,336
owner,sell shares to,public,5,337
owner,sell,shares,5,338
technology,dominated,public,5,339
firms,hit by,costs ' fuel costs,5,340
Small firms,hit by,rising costs ' Rising fuel costs,5,341
firms,hit by,rising costs ' Rising fuel costs,5,342
firms,hit by,rising costs ' fuel costs,5,343
firms,hit despite,rise in output,5,344
Small firms,hit by,costs ' fuel costs,5,345
firms,hit by,costs ' Rising fuel costs,5,346
Small firms,hit despite,rise,5,347
Small firms,hit by,rising costs ' fuel costs,5,348
rise,is in,output,5,349
firms,hit despite,rise,5,350
Small firms,hit despite,rise in output,5,351
firms,hit despite,business lobby group CBI,5,352
Small firms,hit by,costs ' Rising fuel costs,5,353
Small firms,hit despite,business lobby group CBI,5,354
firms,is,Small,5,355
survey,call,centres,5,356
users,lose,impatient,5,357
users,lose,patience,5,358
Worldcom ex-boss,launches,defence Lawyers,4,359
waves,is,Giant,5,360
blizzard,add up to,tale,5,361
Market,unfazed by,Aurora setback,5,362
blizzard,add up to,tale of woe,5,363
Market,unfazed,As Aurora limped,5,364
Market,unfazed,Aurora limped back,5,365
Market,unfazed,Aurora limped back to its dock,5,366
Aurora,limped on,20 January,5,367
Market,unfazed,Aurora limped on 20 January,5,368
blizzard,add up to,unambiguous tale,5,369
Market,unfazed,As Aurora limped back,5,370
Market,unfazed,Aurora limped back on 20 January,5,371
Market,unfazed,As Aurora limped back on 20 January,5,372
Market,unfazed,Aurora limped back to its dock on 20 January,5,373
Market,unfazed,As Aurora limped back to its dock on 20 January,5,374
Market,unfazed,As Aurora limped back to its dock,5,375
Market,unfazed,Aurora limped,5,376
blizzard,add up to,unambiguous tale of woe,5,377
Market,unfazed,As Aurora limped on 20 January,5,378
Aurora,limped back on,20 January,5,379
setback,limped,unambiguous,5,380
Turkey,knocks,six zeros,5,381
Turkey,is at,zeros,5,382
US prepares,are,set,3,383
US prepares,are set,double in 2005,3,384
US prepares,double in,2005,3,385
US prepares,are set,to double,3,386
hybrid onslaught Sales,is in,US,3,387
US prepares,are set,to double in 2005,3,388
Fiat,is,cylinder,4,389
Fiat,is,sporty,4,390
Fiat,is,petrol,4,391
Fiat,is,Italian,4,392
Fiat,is,subsidiary,4,393
M&S,cuts,prices in London,5,394
M&S,cuts prices by,average,5,395
M&S,cuts prices by,average,5,396
M&S,cuts,prices by average,5,397
M&S,cuts prices according,research,5,398
M&S,cuts prices according,research,5,399
M&S,cuts,prices by average of 24 %,5,400
M&S,cuts,has cut prices by average of 24 %,5,401
M&S,cuts,has cut prices in London by average of 24 %,5,402
M&S,cuts prices according,research from City investment bank,5,403
M&S,cuts prices according,research from City investment bank,5,404
has cut prices,is in,London,5,405
M&S,cuts,prices in London by average,5,406
M&S,cuts,has cut prices in London,5,407
M&S,cuts,prices in London by average of 24 %,5,408
M&S,cuts,has cut prices by average,5,409
M&S,cuts,prices,5,410
M&S,cuts,prices,5,411
M&S,cuts prices by,average of 24 % Marks,5,412
M&S,cuts prices by,average of 24 % Marks,5,413
M&S,cuts,has cut prices,5,414
M&S,cuts,has cut prices in London by average,5,415
M&S,is at,prices,5,416
known company,bought production unit at,auction,4,417
Russian company,bought,main production unit,4,418
Russian company,bought,production unit,4,419
Russian company,bought,main production unit of oil giant Yukos,4,420
known company,bought,main production unit,4,421
known Russian company,bought,production unit,4,422
known Russian company,bought,main production unit,4,423
Russian company,bought production unit at,auction,4,424
little known Russian company,bought production unit at,auction,4,425
little known company,bought production unit at,auction in Moscow,4,426
little known company,bought,main production unit of oil giant Yukos,4,427
company,bought,main production unit of oil giant Yukos,4,428
little known Russian company,bought production unit at,auction in Moscow,4,429
company,bought,production unit of oil giant Yukos,4,430
known Russian company,bought production unit at,auction in Moscow,4,431
little known company,bought,production unit of oil giant Yukos,4,432
little known company,bought,main production unit,4,433
known company,bought production unit at,auction in Moscow,4,434
company,bought,production unit,4,435
little known Russian company,bought,production unit,4,436
company,bought production unit at,auction in Moscow,4,437
auction,is in,Moscow,4,438
little known Russian company,bought,main production unit,4,439
little known company,bought production unit at,auction,4,440
known company,bought,main production unit of oil giant Yukos,4,441
company,bought,main production unit,4,442
known Russian company,bought,production unit of oil giant Yukos,4,443
Russian company,bought,production unit of oil giant Yukos,4,444
company,bought production unit at,auction,4,445
little known Russian company,bought,production unit of oil giant Yukos,4,446
known company,bought,production unit,4,447
known Russian company,bought,main production unit of oil giant Yukos,4,448
little known company,bought,production unit,4,449
little known Russian company,bought,main production unit of oil giant Yukos,4,450
known Russian company,bought production unit at,auction,4,451
known company,bought,production unit of oil giant Yukos,4,452
Russian company,bought production unit at,auction in Moscow,4,453
China,keeps,rein,5,454
China,keeps,tight rein,5,455
China,is at,rein,5,456
takeover bid,be,raised,6,457
takeover bid,be raised to,Â,6,458
Boerse,woo,Bosses,6,459
Boerse,woo,talk,6,460
Axa Sun Life,cuts,bonus payments Life insurer Axa Sun Life,5,461
insurer,has,annual,5,462
car maker BMW,has announced,Â,3,463
German car maker BMW,has announced,Â,3,464
BMW cash,fuel,production,3,465
BMW cash,fuel,Mini production,3,466
its profits,soar to,its acquisition last year,5,467
its profits,soar thanks to,its acquisition last year,5,468
its profits,soar thanks to,its acquisition of Brazil 's biggest beer firm year,5,469
its profits,soar thanks to,its acquisition of Brazil 's beer firm last year,5,470
its profits,soar to,its acquisition of Brazil 's biggest beer firm last year,5,471
its profits,soar to,its acquisition of Brazil 's beer firm year,5,472
its profits,soar thanks to,its acquisition of Brazil 's beer firm year,5,473
its profits,soar to,its acquisition of Brazil 's biggest beer firm year,5,474
its profits,soar thanks to,its acquisition of Brazil 's biggest beer firm last year,5,475
its profits,soar,thanks,5,476
its profits,soar to,its acquisition year,5,477
its profits,soar thanks to,its acquisition year,5,478
its profits,soar to,its acquisition of Brazil 's beer firm last year,5,479
Belgium,has,Inbev Belgian brewing giant,5,480
oil,is,Balkan,5,481
Macedonia,has,go,5,482
High fuel costs,hit,US airlines Two of airlines,5,483
High fuel costs,hit,US airlines Two largest airlines,5,484
fuel costs,hit,US airlines Two of airlines,5,485
High fuel costs,hit,US airlines Two,5,486
fuel costs,hit,US airlines Two of largest airlines,5,487
fuel costs,hit,US airlines Two airlines,5,488
High fuel costs,hit,US airlines Two of largest airlines,5,489
fuel costs,hit,US airlines Two,5,490
High fuel costs,hit,US airlines Two airlines,5,491
fuel costs,hit,US airlines Two largest airlines,5,492
fuel,is,High,5,493
trial,started in,New York,4,495
WorldCom trial,starts in,New York,4,496
trial,started with,selection,4,497
trial,started with,selection of jury,4,498
Business,fears,European leaders gather,5,499
European leaders,sign,new EU constitution,5,500
leaders,gather in,Rome,5,501
Business,fears,leaders gather on Friday,5,502
Business,fears,As leaders gather on Friday,5,503
Business,fears,leaders gather,5,504
Business,fears over,sluggish EU economy,5,505
Business,fears,European leaders gather in Rome on Friday,5,506
Business,fears,As European leaders gather,5,507
Business,fears,leaders gather in Rome on Friday,5,508
leaders,sign,new EU constitution,5,509
Business,fears,As European leaders gather on Friday,5,510
Business,fears,As leaders gather in Rome,5,511
leaders,gather on,Friday,5,512
Business,fears,As European leaders gather in Rome on Friday,5,513
Business,fears,European leaders gather in Rome,5,514
European leaders,sign,EU constitution,5,515
Business,fears,As leaders gather in Rome on Friday,5,516
Business,fears,As leaders gather,5,517
European leaders,gather in,Rome,5,518
leaders,sign,EU constitution,5,519
Business,fears over,EU economy,5,520
Business,fears,leaders gather in Rome,5,521
European leaders,gather on,Friday,5,522
Business,fears,European leaders gather on Friday,5,523
Business,fears,As European leaders gather in Rome,5,524
approach,buy,Manchester United,6,525
fresh approach,buy,Manchester United,6,526
Man Utd approach Malcolm Glazer,made,approach,6,527
new Man Utd approach Malcolm Glazer,made,approach,6,528
new Man Utd approach Malcolm Glazer,made,fresh approach,6,529
Man Utd approach Malcolm Glazer,made,fresh approach,6,530
Malcolm,has,bid,6,531
Malcolm,has,fresh,6,532
Malcolm,has,club,6,533
business confidence slides German business confidence,fell,knocking hopes of recovery in Europe 's largest economy,5,534
German business confidence slides business confidence,fell,hopes of speedy recovery,5,535
business confidence slides business confidence,fell,hopes,5,536
business confidence slides business confidence,fell,hopes of speedy recovery,5,537
German business confidence slides business confidence,fell,hopes of recovery,5,538
German business confidence slides business confidence,fell,knocking hopes of recovery in Europe 's economy,5,539
business confidence slides German business confidence,fell,hopes of speedy recovery in Europe 's largest economy,5,540
business confidence slides business confidence,fell,hopes of speedy recovery in Europe 's economy,5,541
German business confidence slides business confidence,fell,knocking hopes of speedy recovery in Europe 's largest economy,5,542
German business confidence slides German business confidence,fell,knocking hopes of speedy recovery in Europe 's economy,5,543
business confidence slides business confidence,fell,knocking hopes of speedy recovery,5,544
German business confidence slides German business confidence,fell,hopes,5,545
business confidence slides German business confidence,fell,knocking hopes of recovery,5,546
German business confidence slides German business confidence,fell,hopes of speedy recovery,5,547
business confidence slides business confidence,fell,knocking hopes of recovery,5,548
German business confidence slides German business confidence,fell,knocking hopes of recovery in Europe 's largest economy,5,549
German business confidence slides business confidence,fell,knocking hopes,5,550
business confidence slides business confidence,fell,hopes of recovery in Europe 's largest economy,5,551
business confidence slides German business confidence,fell,hopes,5,552
business confidence slides business confidence,fell,hopes of recovery in Europe 's economy,5,553
business confidence slides German business confidence,fell,knocking hopes,5,554
business confidence slides German business confidence,fell,hopes of speedy recovery,5,555
business confidence slides German business confidence,fell,hopes of recovery in Europe 's economy,5,556
business confidence slides German business confidence,fell,hopes of speedy recovery in Europe 's economy,5,557
German business confidence slides German business confidence,fell,knocking hopes of recovery,5,558
business confidence slides German business confidence,fell hopes in,February,5,559
business confidence slides business confidence,fell,hopes of speedy recovery in Europe 's largest economy,5,560
business confidence slides German business confidence,fell,hopes of recovery,5,561
business confidence slides business confidence,fell,knocking hopes,5,562
German business confidence slides German business confidence,fell,hopes of recovery in Europe 's largest economy,5,563
German business confidence slides German business confidence,fell,hopes of speedy recovery in Europe 's economy,5,564
business confidence slides German business confidence,fell,hopes of recovery in Europe 's largest economy,5,565
German business confidence slides German business confidence,fell,knocking hopes of recovery in Europe 's economy,5,566
German business confidence slides business confidence,fell,hopes of recovery in Europe 's largest economy,5,567
business confidence slides business confidence,fell,knocking hopes of speedy recovery in Europe 's largest economy,5,568
German business confidence slides business confidence,fell,knocking hopes of recovery in Europe 's largest economy,5,569
German business confidence slides business confidence,fell,hopes of speedy recovery in Europe 's economy,5,570
German business confidence slides German business confidence,fell hopes in,February,5,571
business confidence slides business confidence,fell,knocking hopes of recovery in Europe 's economy,5,572
German business confidence slides business confidence,fell,knocking hopes of recovery,5,573
business confidence slides business confidence,fell in,February,5,574
German business confidence slides business confidence,fell,hopes,5,575
business confidence slides business confidence,fell,knocking hopes of recovery in Europe 's largest economy,5,576
German business confidence slides business confidence,fell,knocking hopes of speedy recovery in Europe 's economy,5,577
German business confidence slides German business confidence,fell,hopes of recovery,5,578
German business confidence slides business confidence,fell in,February,5,579
German business confidence slides German business confidence,fell,hopes of recovery in Europe 's economy,5,580
German business confidence slides business confidence,fell,hopes of speedy recovery in Europe 's largest economy,5,581
speedy recovery,is in,Europe 's largest economy,5,582
German business confidence slides German business confidence,fell in,February,5,583
business confidence slides German business confidence,fell,knocking hopes of speedy recovery,5,584
German business confidence slides German business confidence,fell,knocking hopes,5,585
German business confidence slides German business confidence,fell,hopes of speedy recovery in Europe 's largest economy,5,586
business confidence slides business confidence,fell,hopes of recovery,5,587
business confidence slides German business confidence,fell in,February,5,588
German business confidence slides German business confidence,fell,knocking hopes of speedy recovery,5,589
German business confidence slides German business confidence,fell,knocking hopes of speedy recovery in Europe 's largest economy,5,590
business confidence slides business confidence,fell hopes in,February,5,591
German business confidence slides business confidence,fell hopes in,February,5,592
business confidence slides business confidence,fell,knocking hopes of speedy recovery in Europe 's economy,5,593
business confidence slides German business confidence,fell,knocking hopes of speedy recovery in Europe 's largest economy,5,594
business confidence slides German business confidence,fell,knocking hopes of recovery in Europe 's economy,5,595
German business confidence slides business confidence,fell,hopes of recovery in Europe 's economy,5,596
German business confidence slides business confidence,fell,knocking hopes of speedy recovery,5,597
business confidence slides German business confidence,fell,knocking hopes of speedy recovery in Europe 's economy,5,598
business,is,German,5,599
UK interest rates,held at,4,5,600
interest,held,rates,5,601
Circuit City,gets,electronics retailer in US,3,602
second electronics retailer,is in,US,3,603
Circuit City,gets,second electronics retailer,3,604
Circuit City,gets,takeover offer Circuit City Stores,3,605
Circuit City,gets,second electronics retailer in US,3,606
Circuit City,gets,electronics retailer,3,607
