text;target
113436;I got this shampoo from another website before and I love it. The smell is really nice and it always leave dog's fur very smooth. I am happy to find it on amazon.;0
30568;Bought this for my 20lb tuxedo since he thinks he is always starving.  He played with it for a few min and then was over it.  However, if you have a young cat our kitten loved it. Was excited by the fact his toy dispensed big cat food vs his kitten chow.;0
108987;My Rabbit loves it, and this is one of the few products that I found that has no alfalfa hay in it;0
39070;Both of my cats go crazy for these. This is the second package...they're very hard on their toys! But I'm ok with that because it amuses them for hours.;0
91734;"Revised: I bought this cat food because of the wonderful low price and I enjoy the adorable cat on the commercials. My cats did eat this food, in fact they really enjoyed it. However, after reading the ingredients and doing some research, I completely regret purchasing it and feel just awful for feeding it to my cats. The first few ingredients are (which indicates the most prevalent ingredients) Water sufficient for processing, fish, poultry, meat by-products, wheat gluten. How disgusting is that?! ""Fish"" and ""poultry""?? Not really sure how that can be counted as an ingredient...not ""tuna"" or ""salmon"" but ""fish."" Not ""chicken"" or ""turkey"" but ""poultry."" If it was a decent quality meat- they wouldn't feel the need to hide behind ambiguous terms. Then there's the by-product which is the stuff leftover once all the actual meat is harvested. We're talking beaks, chicken feet, eyeballs, even chicken poop! I would not recommend this product to anyone, for any reason, ever. It is an absolutely awful cat food. I suppose you get what you pay for. I think the only reason why it was cat-approved may be because it contains artificial flavors that taste good to cats and because I usually feed them dry food for dental reasons and wet food puts off much more of a scent for them to enjoy. I recommend to stay far away from Friskies, as it is simply a very low quality filler food. Even though the price is quite inexpensive, your cat will actually eat more than if you paid for a better quality food, because they will never feel full. Cats need to eat real, pure, meat, and there just isn't real identifiable meat in this food. When purchasing a cat (or dog) food, the most important thing to consider is the first 3 ingredients, just make sure those first three are decent ingredients that you would eat yourself. Now that I know what to look for, I usually buy my pets all natural, dry foods such as Natural Balance, Blue Buffalo, Halo or Wellness. All of those brands contain real, whole meats that I myself would eat, with no added fillers or ambiguous ""meats"".";0
17241;I tried this and other products to clean the fur from furniture, upholstery and blankets at my shelter of cats, and it works, but not as good as other products.;0
24928;This collar is effective for both of my 25-lb mixed breeds who bark at all of the neighbors when they're out in the yard. For the next few days after wearing the collar, barking continues to be reduced or stops, then they start up again and I have to put the collar back on them.However, when batteries ran out they were impossible to find except here at Amazon and the ones I ordered don't all work. I replaced the battery in both collars and only one works - I'll have to start going through the rest of the 10-pack to see if the others work better.If the replacement batteries were easier to find and always worked, this collar would be ideal.;0
14376;"The ground just got higher!!  Knee problems have kept me from cleaning my yard of dog poop & I therefore just flung it around with my lawnmower. My 27"" pooper scooper has eliminated this problem. The product works wonderfully picking up poop large & small and emptying ""it"" into a plastic grocery bag, quickly and efficiently.";0
5923;My cat loves to carry them around and hide them under the sofa and bed.  Great stocking stuffer for cats.;0
138202;Ok for the price I suppose.  One of them still fed water back to the pump, making it useless.  Spend more for better units.;0
87398;Both our dogs love this bed. The little one gets in there more than our larger Great Pyrenees. They do like to get in there together on the colder days. Cover comes off for cleaning,though we have not washed it yet.;0
133921;"I received a used toy! It was scratched, cracked and very obviously far from being new. I actually don't know if my cats would have enjoyed the toy, or not. Unfortunately, just the smell of the toy, having already been ""broken in"" by other kitties, kept them from even trying out the toy. After the first smell, they never went near it again. In short, this was a very disappointing purchase. Wrapping a used item in new packaging does not make it new!(I did return the toy, and I immediately received an instant refund. I had absolutely no problems with the return process.)";0
94566;Great price for a pack of 3 clickers.  Nice button on top, easy to click, and the sound isn't quite as harsh as some others I've used.  The dogs have no problem hearing them, so I much prefer them.  Actually some of the louder, hard clickers actually frighten our small dog -- but she doesn't shy away from these.;0
114447;I probably would never have purchased a litter box this big had I seen it in the store, but my cats are really liking the larger size. A matched set would've been nice, but color wasn't a choice.;0
82300;And my bird loves it too.  It is one of the best maintenance bird diets out there.  Will continue to buy it if I can get it shipped for free.;0
105632;Works very well to clean up cat urine. No harsh chemical odor and no remaining traces of urine when using a black light.;0
46224;I have a male cat that has been harassing the females. I put one diffuser upstairs and one downstairs. Things have improved a lot. The chasing has subsided almost totally. Occasionally there is a little swatting and hissing, but the difference is amazing. I highly recommend this product.;0
145889;Our ACD loves this toy.  We fill it with her kibble and a few treats and it keeps her busy for 30 minutes at a time!;0
65404;This harness fits well but one of my two dogs does not like it much but I think with time she will get used to it. Measure correctly because the neck size is not adjustable;0
3964;Finally, something that works.  No more plastic, no more trying to thread screwed up threads.  Very satisfied customer;0
7215;Bought for my 8 week old chihuahua she ate it only for a short time before refusing it.  And it's is not grain free;0
25851;My cat rarely drinks from the faucet anymore!;0
137696;My dogs love greenies. I ordered these trying to save money instead of the Bright Bites that I had been getting. I think the Bright Bites might do a better job of cleaning the tarter off of their teeth though, and my dogs also love those. I will observe their teeth for a while on these more economical teeth cleaners and edit later if I think that it is indeed true that the Bright Bites do a better job of cleaning their teeth. They did have a better price online of some of the Bright Bites, but did not see the better deal as of late, so ordered these trying to save some money, about 1/3 the price of Bright Bites at the current price. We do brush their teeth every night and then give them these as a &#34,bribe&#34, for letting us brush their teeth. They are not crazy about getting their teeth brushed, but will submit to it because they know they are immediately getting a treat after having their teeth brushed. Just like little kids, my little dog girls!;0
58689;It fits nicely into Kong and keeps Dasher busy. However Dasher vomitted after eating it. Not sure whether he's not used to this new treat.;0
123553;Our dog has a lot of Kong products and he loves all of them, this ball is right up there with his classic Kong.  Bounces a little too so when we throw it and it hits something, he gets to chase it a little.;0
125144;This fuzzy rabbit is one of the dogs' favorite toys. They carry it around everywhere. Worth the price and highly recommended.;0
59356;I recently looked for supplements for my dog who has autoimmune arthropathy and came across this product and saw the good reviews. I decided to try it and am so glad I did. I had been using it for my dog for about six weeks now. My dog is more active and less withdrawn now and I didn't have to give her Rimadyl for at least 3 weeks (considering I was giving it twice a day at some point). How do I know this supplement works? I don't know. But what I do know is the difference I've seen in my dog before and after I put her on this supplement. I give it to her slowly as she lick the tip of the syringe. And please remember to REFRIGERATE just as an added precaution. I've forgotten twice to refrigerate right after using it but luckily, I realized it before it got warm so I really didn't worry about it.;0
81536;I am trying to train my dog and needed a longer lead for some of the procedures and this was ideal for what I was doing.;0
21353;it's bigger than his previous two hide-a-squirrels, so it is easier for him to get anything and everything out of it.Careful though, folks, my dog has a ball breaking the plastic inside the bottom of the toy into teeny tiny shards. When that happens, I have to cut open the bottom and pry out the pieces, which are VERY DANGEROUS if not removed and your dog gets at them.So if your dog is a tough chewer, as mine is, this toy will last quite a good while. Just be sure to extract the plastic shards (not a smart choice on the part of the manufacturer) after they are sliced and diced by your dog.;0
147050;I've been trying to use this for the last month or so, because lugging the big packages of litter was wearing me out. This stuff is indeed lighter weight, but in that process I feel the integrity of the liter has been compromised. It doesn't clump and is almost impossible to scoop an there is little odor control as well. I won't be buying this again.;0
100092;I gave this item five stars because it really meets my expectations. It claimed to help slow down a dog's eating, and it does. It also does not skid all over the floor. It is easy to clean.;0
126506;Kona has one of those pop-up cubes and absolutely loves that thing (it's basically falling apart after a few weeks though - he tends to jump on it) so we figured this would be just as fun and hopefully hold up better.He wasn't too interested at first but now he hides out in it and loves to drag his toys in there when he catches them.  The tube seems like it'll hold up well.;0
78927;This is an ok toy, it didn't last very long with my cat, who just tore it up and pulled all the fur and tail off the mouse, now its a squeaky plastic ball!;0
47832;my cats absolutely go CRAZY over this stuff!  I have little bells that I use to let them know it's 'treat' time and THEY COME RUNNING.;0
58786;I bought this patio pet door for my sliding glass door (which is a newer door).  I had measured like they request you do and it was to a T.  The door came in and it is too large for my door...won't fit my door.Very disappointed...seems like everything that I have gotten from AMAZON in the last 6 months has been either defective, scam, wrong sizes etc............................And...they are not getting my refunds back to me!;0
9802;My elderly long hair Birman can no longer groom because of arthritis so I've been brushing and combing out his tangles for about a year.  I was using a flea comb which needed to be replaced.  Bought this one and it works well on my old boy.  The handle is nice and large for a good comfortable grip.  The metal on the comb portion comes to dulled points so it won't poke your pet.  I am very gentle when working on getting the matted fur from my old cat and this one works well.I also have a short hair and this doesn't work particularly well on her because the teeth of the comb are not close enough together like my old flea comb.  I'll have to get another flea comb for the short hair.Overall, it's well made and me and my Birman really like it!;0
19397;Really like this product for it's durability and strength.  The cat liners are large and roomy to fit Momma Kitty's litter box and holds a lot of litter.  the draw-strings make for easy clean up.;0
68034;I used this for a short while with my senior dog who had various problems that required antibiotics.  But I've never liked the idea of feeding animals anything with &#34,animal digest&#34, in it, so I stopped recently and have been using a pre-biotic instead (Bene-Bac).  This is the product that most veterinarians sell, so it's certainly popular and not too pricey if you buy it with Amazon.;0
77026;I have a 35-40 pound hound puppy and this works well for her. She isn't one to run but we use this if we take her somewhere unfenced and unfamiliar. The only problem which is common with any run is that she sometimes gets a rash or a blister on her belly from it rubbing against her. Again, that's common with any run but you could invest in a trolley if you're concerned about that.;0
96397;This item shipped quickly.  It is the exact replacement of the original part.  I've had this for several years and as long as you clean it once a week (give or take), it works just fine.;0
28655;This is a nice big bag of pet bedding that I am using for a dwarf hamster in a medium sized cage.  It looks like there will be enough in the bag for approximately 10 cage cleanings, so it's a good big bag.  I put it about 2 inches thick and then let my little hamster go to town and arrange it however she wants.  She usually makes a big pile for sleep under.  She seems to like it and it seems to be odorless so this brand is definitely a keeper.;0
9178;I wish this type of airline hose was around 30 years ago when I was a kid.  It does not kink and it works well with all of my pumps and air stones.  Also, the blue color is a nice touch in a glo-light type of aquarium.;0
88417;We just moved and we have a kitty who started spraying in the house after seeing a cat outside. We didn't want our new house to be icky so we used this and it seemed to work. After a few weeks I took it off and then guess what, he sprayed in the house! I had to buy him another one and it seems to be working out really well. I like the smell of the collar, it isn't stinky at all.;0
52582;I use the littermaid for in my home, however I have a screened enclosure and this works great outside instead of my cats having to make a run for it in the house if they have to go. I put it outside in the screened area (they are not allowed outside other than here) and they can use it without me worrying about them having an accident out there. When I first purchased it I had it in my hall and it was empty so they used it as a hide and seek space, I almost think they were disappointed it became a litterbox..lol.. I have to agree with other reviewers who stated the palm was not enough on top but easy enough to go to the dollar tree/dollar store or use coupons for Micaels or Joann's to get another palm or plant to put in it. I am happy with my purchase.;0
136364;Cats prefer to drink from running water so I got this to put down in their water bowl. I would have liked to be able to clean it better, though if you were just using it for a fountain it probably would be okay. Its pretty powerful and i like the gliding switch so you can really have a range of flow;0
27541;The ball turned out to be a little  too big for my dog. But made a great Christmas present for a friend that had a dog. He just loves chasing it and the different sounds that it makes.;0
32005;I love all zukes products., I use this as a training treat and break it apart.  It's all natural., low in calorie and my yorkie loves it;0
134613;It's cute and the batteries last a while, and unless the dog has really dense fur it also helps give a beacon in the dark, which I thought was really cool (not what it was designed for, but I thought it was an extra plus).There's a red light that is motion activated to show you it's charged. I think this holds its charge pretty well.Things I've discovered through other dog owners since I've started using this, though: some people seem to have the misconception that this is going to train/stop your dog. It's not. It interrupts your dog from what he or she is doing, but you're still the one who has to provide the discipline. It'll interrupt your dog so you can get his or her attention, so you still have to reinforce the right behavior -jump in as soon as you've interrupted the dog with this.  This isn't a dog trainer, it just provides a little extra help.The other major concern I hear from other dog owners is that this thing might &#34,hurt&#34, their dog. Pfft. Yes, I strapped it to the inside of my elbow (yes, it's a sensitive spot), and gave it a couple pushes of the button.I learned a few things having tried this on myself:The first setting is basically a vibrate setting. If you ever played the Xbox, it's basically like your controller vibrating. The two metal knobs intensifies that a little bit -it'll scare your dog (heck, it gave me a start!), but it in no way hurts.  This will get your dog to go, &#34,OMGWTF!?&#34, for a split second, then you get your dogs attention and do what you have to.My dog adjusts very quickly and was able to start ignoring the first setting after a while.The second setting (the &#34,L&#34, button) is a shock. Don't worry about pushing the button or holding it down -this thing almost has cool down time built into it -it buzzes the dog (or you, if you're like me and want to tie this to yourself and try it out) for a fraction of a second, but doesn't keep doing it even if you hold the button down and you can't push the button fast enough for it to work like an electrocution device (but please, please don't take that as a challenge). So, this won't hurt your animal because it's not electrocuting your pet. If your pet adjusted to the vibrate setting like mine did, move on to this one. Again, buzz him, but jump in and reinforce the behavior you DO want. This only helps interrupt the animal from what he's doing, if you don't get in his space as soon as you can, his attention will go right back to what he was working on.The third setting -I'm assuming the &#34,H&#34, stands for high -doesn't actually feel any different than the &#34,L.&#34,  And yes, yours truly tried more than once to test the &#34,difference&#34, but couldn't feel one. After 4 shocks my forearm did feel kind of numb for the next 5 minutes, but this is not going to cause injury to a dog because, again, it's a small zap that lasts for a fraction of a second not electrocution (constant current). I know it's strange I have to reiterate that, but I've spoken to a handful of very concerned pet owners who believe this will actually fry your pet if you hold down or continuously press the button -that's not what this does (and hopefully not what any training aid is ever designed to do).That being said, if the &#34,L&#34, setting isn't dissuading your dog from what he or she is doing, the &#34,H&#34, setting isn't going to make a difference.;0
7669;Really like the quality of this pad which I got for my puppy.  It has held up after numerous washing & dryings.;0
75828;This little cup/bowl folds flat and can be easily slipped into a handbag, in the seat back pocket and even clipped to a bag or strap with the carabiner it comes with.  The bowl is sturdy enough when popped open and stays open securely at each fold/step.It can go in the dishwasher and is easy to clean. No more smelly hard to clean fabric bowls.  This is great for dogs who refuse to drink out of dark containers.One note of caution: if you have a dog that likes to splash in its water bowl, you may find that it may collapse the bowl spilling water all over the floor or even learn (& like!) how to collapse it (great! a new toy!).UPDATE: FEB 2011We are still using this cup daily since buying it in the summer of 2008 and so far it looks as new as the day we bought it. There is no visible wear. Excellent product!;0
114637;This is the second one I've bought. The other one lasted at least 10 years. I have cats and dogs. This little machine is so handy for anyone who has carpet. Well worth it in my opinion.;0
39933;Not sure why, but my dogs just do not destroy these type of toys.  We have a few different animals in this type toy.  A couple of them we have had for a few years.  Yes, they still play with them.  I had one for about 4 years and had to throw it out just because it was getting old and the material was getting dry.  I don't find the squeak as annoying as some other toys either.;0
123278;I asked my guinea pigs and they said give this 5 stars.  Everytime I get them one they go at it like a bunch of beavers and spend almost a year chewing the thing all up.;0
11666;Pabu doesn't play with these on their own, but I put them in with his Marshall ferret ball pit and suddenly they became so much more interesting. And you can't argue with the price either.;0
135684;I got my Chesapeake Bay Retriever puppy at 8 weeks. He absolutely LOVES this food! The only negative is my guy goes #2 alot on this food...not times a day per day but in the amount that comes out. His stools are normal looking I just wish they were smaller. I tried Fromm LBP but my guy would pick out the TOTW and leave the Fromm.;0
104781;You have to keep applying this OFTEN for it to make any difference. This isn't the universal cat problem answer that others have made it out to be. remember cats are individuals and if they wanna scratch they're gonna, whether it smells like kitty already or not.;0
49989;I keep encouraging my dog that she can figure it out...but just between us humans I think it might be too hard. If I hold it and she pulls the rope, she can do it. But without hands to hold the bottle upside down, I don't really get how a dog could do it. She was really frustrated and stressed about the whole ordeal.My boy dog wasn't so stressed, and very determined. He's not quite as bright as my girl...but he sure had the heart for it! I doubt he'll get it either.I just got it today so I'll give it more time but I just don't think it's feasible when all you've got to work with is paws and teeth.That being said, they liked using it with me holding it, hence the three stars. My girl figured out that if she made her brother do the tugging, she was more ready to snatch up the treats when they fell out. Told you she's the smart one.;0
93905;Dog Pet Grooming Shear Scissor SettMy wife and I own and occasionally breed toy poodles.  My wife does all the grooming most of the time.I thought that I'd surprise her with some new scissors.  When these arrived yesterday, she immediately scooped up one of the toy poodles and went to trimming.  She particularly likes the fact that you get four different size scissors in the set.  I did make the mistake of telling her how little they cost.  I should have kept my mouth shut.  They are comparable to much more expensive scissors in the cutlery shops.  With what grooming costs around here they paid for themselves yesterdIf you groom dogs with scissors, I highly recommend this set.  I , also boughtt Tiny Dog Grooming Scissors Trims Safely @ Ears~Eyes she likes thaose as well.Gunner, 2010;0
127261;I have an 10 month old boxer who can chew through most toys in a matter of seconds.  This one has been going strong since she was about 3 months old.  I find that most Kong chew toys stand up to a major chewer with the exception of any that have rope or stuffing.Well worth the expense considering lesser cost chews are generally less strong and resistant to a large dog's chewing.;0
41831;I have tried several products.  I like this one the best.  It seems to be fast and thoroughly removes the stain and odor..;0
88463;My order from Amazon arrived very quickly.My lab mix, medium-sized dog has trouble with large treats. These were tiny.When they arrived, I took one out and he sniffed at it very cautiously, then tried it. It passed his nose test and his mouth test.We're happy.EDITED to say that he has changed his mind. Now he prefers one size larger, but he still likes these.;0
59767;It was too small and did not collect the litter the way it stated.I would not recommend buying it.;0
123258;Have two small Yorkies with dental issues.  This was recommended by our vet.  Seems to help the breath and tarter issues.  Will keep purchasing this item.;0
56427;We have 4 dogs. We own 11 crates. 1 set upstairs. 1 set downstairs. A set to keep at our parents' house.We love Midwest crates/products. They have held up very well.I needed another crate for our latest furry addition.I purchased this one because it appeared to be the exact same model that we had purchased previously.When it arrived, however, it was apparent that it had been redesigned. The gauge of the crate is not as thick. In addition, instead of having two clips to keep the front/back up there is only 1. This is probably more than adequate as this crate will house an 8 year old pug who has no desire to escape. If I had an escape artist I would be more concerned.It will meet my needs. Might not meet everyones.;0
28055;My pup is potty training and I lay down pads for him to  use the rest room inside his playpen. These pads are able to absorb the wetness without leakage. Would recommend;0
86463;Works as intended, no slipping, no spinning, no dropping, holds multiple bags with no problem. The material quality makes me think this product should sell for $0.69, but the service it provides makes me happy to pay the $5 price.;0
145695;I started giving these to my solid black English Springer Spaniel who is a dander making machine. Ever since he started getting these regularly, his coat looks shinier and healthier, and his dander is under control. No longer do the other dogs in the neighborhood make fun of him and leave bottles of selsun blue in his food bowl. He's a very happy dog now and he seems to notice it too, because he isn't scratching or rubbing against things as much as before.;0
62056;off on off on was hoping for a timer i could set 2 deterrent ways  i cant see how this would be perfect for anything;0
77762;My Cavalier King Charles Spaniel loves his Orka Flyer! He loves to chew, and he's had this toy for almost a year -- which we call &#34,the Blue,&#34, and he hasn't torn it yet.  Charley chewed through a hard plastic frisbee within an hour.I love that &#34,the Blue&#34, is soft and flexible and easy of Charley's teeth and gums, I can't see that a hard plastic frisbee would be as gentle.  I fold the blue and use it to speak to Charley (like a hand puppet). He's learned to do that, too!  We play fetch in the house with the Blue -- we call all Charley's Orka toys &#34,the Blue,&#34, and Charley knows the difference between his Orka toys and his other toys.Charley has several Orka toys and most of them have held up under Charley the Chewer!;0
2831;Bought after search for quality food fot catz with renal issues as ours refused to eat the prescription foods from vet's.  Initially they weren't thrilled, but I think it was more catitude than pallatability.  By second can they not only eating it up but demanding it.  Only time will tell if it is good for health issues, but in meantime weight loss is no longer an issue.;0
152521;This tool works better than any other I have tried for my dog.  The amount of hair that comes out is shocking.  He likes the feel of it also.;0
121557;There are lots of bowls out there that will circulate water in a pet's bowl. This is something that is more critical to a cat than to a dog because cats sometimes don't drink enough to prevent renal problems, but let's face it: Something good to drink is good for any mammal.There are a few problems with this device as a solution.1. I found it didn't stick flat to the bottom of the bowl very well. Most bowls have curved surfaces, and it seemed that no matter how I placed it, at least one suction cup didn't grip.2. If it's totally submerged, you really don't get the effect of rippling water that makes it more enticing to your pet, nor do you get any aeration, which should be part of a filtration system. You could put less water in a bowl so it wouldn't be submerged, but you'd need a very wide, shallow bowl. And then you're going to have evaporation issues.3. The filter is pretty darn small. Put this into regular service, and you'll be replacing a lot of filters, putting an end to any savings over the water circulating bowls like the Drinkwell or Petmate models.I wanted to like a water circulator for a pet that is less expensive than the fancy systems out there, but in this case, I don't think you even get what you pay for it. This might be better for a goldfish bowl, or something like that. And I can't help but imagine that a big, playful dog might even just snatch this thing out of the water like it was a chew toy!Another advantage a real fountain-type bowl system is that the power cord for the pump can be better hidden out of the way of curious pets. While it's only low-voltage, you still don't want your pet biting into the cord that's draped-over the edge of their water bowl.All in all, I'm glad this was a free model for review, and not something I spent good money on.;0
72790;I have two of these (in green), each affixed to the front of my two Husky's Red Dingo Dog Harnesses, Large, Green. Great for visibility where we walk... amongst plenty of traffic, cyclists and other pedestrians. Brightness is great and I have had no issues with malfunctions or premature shut-offs as suggested by other reviews. So far, so good. Very happy.;0
49464;The silver wooden slats slid up and down the legs. I had to glue them down to stay put (to look like the picture). Didn't feel like going through the hassle of a return for something so minor, but pretty shoddy nonetheless.;0
143720;"I didn't even know I NEEDED one of these till I got one. And I'll never do without it again. We have a 14 pound Egyptian Mau who, even for a cat, is a totally obsessive clean-nik.  He will remind me every other evening if I have been so neglectful as to have not thoroughly cleaned his litter box.  Even though he has a large Booda Dome like thisBooda Dome Cleanstep Cat Box, Titaniumall to himself, he wants it kept in perfectly raked, pristine condition.Being a servile underling to our lord and master, I was using plastic grocery bags to accomplish this, till I got the Litter Genie.  Here's what I like about it:1. It works something like an old-fashioned diaper pail, sitting ever-ready by the litter box.  When I need to use it, it's there.2. You ""load"" the Litter Genie by placing a plastic ring filled with double-layered bags inside the top.  By the second time you do this, you'll know exactly how.  I've only had to refill it once in the 3 months I've been using it (I empty once a week, on ""garbage night"").3. The double-walled bags REALLY make a difference in odor control.  No wafting odors, no ammonia smell.4. The opening at the top of the Litter Genie is a nice size & much easier to ""hit"" with a scoopful of litter than trying to hold a grocery bag open with one hand.5. Scoop the used litter into the top of the Litter Genie.  Then, slide out a little bar & the litter falls down into the bottom of the Litter Genie (into the bottom of your double-walled bag).  Push the bar back in & odors are sealed away.  Really.  The bar itself never touches the used litter, it's ""lined"" by the double-walled bag.6. On garbage night, I simply open up the Litter Genie, position the top of the used part of the bag into a built-in bag cutter, tie a knot, & throw it away.7. To deploy a fresh bag, just pull out about 8 or 10 more inches of the bag material, tie a knot in the bottom of it, close the lid & you're loaded and ready to go.  It's easier than it sounds : )8. The Litter Genie has a scoop holder (installed on the left or right side, your choice) AND its own scoop.9. The rounded corners of the outside make this an unobtrusive part of the room, it's not ""clunky"" looking at all.10. The Cat is Happy!Refills are a little on the expensive side, but worth it, in my book.  If you have family members with allergies (I do!), keeping the litter box as clean as possible can help quite a bit.  I also use a litter mat like this to help contain/reduce litter dust:Pruven P LTM 1824 T 18 by 24-Inch Litter Trap Mat,Tan. Highly recommended, one of my favorite finds of the year!";0
155005;Only thing is we found we had to put half his kibble in and let him work on that for 20 minutes.  Then we put in the rest.  This is just due to the amount that ideally fits in at one time.  You can put all of it in at once.  But that actually makes it easier for him to eat and finishes faster.  If you have time, place half or quarter of their food in and it takes them almost an hour to eat!;0
45691;I have a medium-sized rabbit in a large dog crate.  This little box comes with two plastic attachments that screw down between cage bars.  My dog crate bars were spaced too far apart to fit these attachments, but I just bent the bars with a pair of pliers wrapped in a rag.  Alternatively, I could have constructed a plate out of wood that would have had the same result.  This litter box fits nicely in the corner, and the rabbit uses it exclusively until it is full.  If I don't clean it in time, he will move on to blankets and stuff.  At first, I was putting the paper litter on top of the bars, but the rabbit would dig them out.  Then I started filling the bottom under the bars, and that kept the urine smell down until I could change the litter, but the crottel would pile up on top.  After experiencing both methods, I have decided that the best thing is to put four packed cups of paper litter in the bottom, which fills the bottom a third of the way up.  Then the urine is absorbed into the litter, and the crottel falls into the container.  The rabbit seems to like it, and I do is well.  Overall, it is a simple and efficient design, and if I ever have additional small animals in the future, I would buy this product again.;0
125535;I'm very picky with dog food for my little teacup Yorkie.. so I did the research and this quality food is filled with the good stuff and leaves the bas stuff out!;0
9061;I have had this for a month.It is pretty huge. My other is a long narrow one.This one is huge.I have a UV bulb in it, and wow does it reflect the light everywhere.Works great and takes the heat.;0
122347;Does exactly what I need done. Do not have to worry about getting cats food if I am not able to be home for a while.  Can change times and amount when I need to.;0
121508;I really like this little fountain.  You can choose what kind of bowl to use it in, and what speed and water level to use, so you can have as little or as much splashing noise as you want.  It does seem to have improved how much water the cats drink!I invested in the 40 refills carbon filter pack to go with it, and that seems to be working well also.;0
74282;My cat loves his chin scratched and will rub up against anything, including my hand, ipad, laptop, etc. I got this hoping he could occasionally scratch his own chin and leave me alone! Put it near his water bowl and he uses it a few times a week. It's a little loud but that could also be due to my wood floors/high ceilings loft.Other colors would be nice.;0
