subject,relation,object,new_topic,old_index
white sugar tender,predict after,last week 's substantial award at ever rebate,2,152
white sugar tender,predict after,"week 's award of 102,350 tonnes at highest ever rebate of 46",2,153
sugar tender,predict after,week 's substantial award at rebate of 46,2,154
white sugar tender,predict after,"last week 's award of 102,350 tonnes",2,155
sugar tender,predict after,week 's substantial award at highest rebate,2,156
white sugar tender,predict after,week 's substantial award at rebate of 46,2,157
white sugar tender,predict after,week 's substantial award at highest rebate,2,158
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest ever rebate of 46",2,159
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest ever rebate",2,160
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest ever rebate of 46",2,161
sugar tender,is,difficult,2,162
white sugar tender,is,difficult,2,163
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest rebate",2,164
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest ever rebate",2,165
sugar tender,predict after,week 's award,2,166
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at rebate",2,167
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at highest ever rebate",2,168
sugar tender,predict after,last week 's substantial award at ever rebate,2,169
sugar tender,predict after,"week 's award of 102,350 tonnes at highest rebate",2,170
white sugar tender,predict after,week 's substantial award at highest rebate of 46,2,171
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest rebate",2,172
white sugar tender,predict after,week 's award at highest rebate,2,173
white sugar tender,predict after,last week 's award at ever rebate of 46,2,174
white sugar tender,predict after,last week 's award,2,175
sugar tender,predict after,last week 's substantial award at rebate,2,176
sugar tender,predict after,"week 's award of 102,350 tonnes at highest ever rebate of 46",2,177
sugar tender,predict after,week 's award at rebate,2,178
white sugar tender,predict after,"week 's award of 102,350 tonnes at rebate of 46",2,179
sugar tender,predict after,"last week 's award of 102,350 tonnes at ever rebate of 46",2,180
sugar tender,predict after,"week 's award of 102,350 tonnes at rebate of 46",2,181
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at ever rebate of 46",2,182
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at rebate of 46",2,183
white sugar tender,predict after,week 's award,2,184
sugar tender,predict after,last week 's substantial award at highest rebate,2,185
sugar tender,predict after,week 's substantial award at highest rebate of 46,2,186
white sugar tender,predict after,"week 's award of 102,350 tonnes at highest rebate",2,187
white sugar tender,predict after,"week 's award of 102,350 tonnes at ever rebate",2,188
sugar tender,predict after,"week 's award of 102,350 tonnes at ever rebate of 46",2,189
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at ever rebate of 46",2,190
white sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at ever rebate of 46",2,191
white sugar tender,predict after,"last week 's award of 102,350 tonnes at highest ever rebate of 46",2,192
white sugar tender,predict after,week 's substantial award at highest ever rebate of 46,2,193
white sugar tender,predict after,"last week 's award of 102,350 tonnes at rebate",2,194
white sugar tender,predict after,last week 's award at highest rebate of 46,2,195
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at rebate of 46",2,196
white sugar tender,predict after,last week 's substantial award at highest ever rebate,2,197
white sugar tender,predict after,"week 's award of 102,350 tonnes at highest rebate of 46",2,198
sugar tender,predict after,"last week 's award of 102,350 tonnes",2,199
white sugar tender,predict after,week 's award at rebate,2,200
white sugar tender,predict after,week 's award at highest ever rebate of 46,2,201
white sugar tender,predict after,last week 's award at highest rebate,2,202
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at rebate of 46",2,203
white sugar tender,predict after,last week 's substantial award at ever rebate of 46,2,204
white sugar tender,predict after,last week 's substantial award at highest rebate,2,205
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes",2,206
sugar tender,predict after,"week 's substantial award of 102,350 tonnes at rebate",2,207
sugar tender,predict after,last week 's award at rebate of 46,2,208
white sugar tender,predict after,"week 's substantial award of 102,350 tonnes at ever rebate",2,209
sugar tender,predict after,"last week 's award of 102,350 tonnes at rebate of 46",2,210
sugar tender,predict after,"last week 's substantial award of 102,350 tonnes at highest rebate of 46",2,211
arrival,is in,June,2,212
CALLS,has,TENDER,2,213
CALLS,has,white,2,214
CALLS,has,TRADE,2,215
ANHEUSER BUSCH,JOINS,BID,3,216
ANHEUSER BUSCH,JOINS BID FOR,SAN MIGUEL Anheuser Busch Companies Inc BUD,3,217
SPOTLIGHT,is,ECONOMIC,7,218
SPOTLIGHT,is,ECONOMIC,7,219
MATHESON,SETS,IT,3,220
MATHESON,SETS,FOR,3,221
OFFICIAL,TAKES,DATA,4,222
Vice Minister Makoto Kuroda,leaves at_time,today,4,223
MICROCHIP,TALKS,Ministry,4,224
MICROCHIP,TALKS,MITI,4,225
MICROCHIP,TALKS,Ministry of International Trade,4,226
JAPANESE OFFICIAL,TAKES,DATA,4,227
OFFICIAL,is,JAPANESE,4,228
MICROCHIP,TALKS,today,4,229
MICROCHIP,TALKS,data,4,230
MICROCHIP,TALKS,U,4,231
BELL GROUP,CONFIRMS,STANDARD CHARTERED STAKE Bell Group Ltd,3,232
NIPPON STEEL,DENIES,CHINA PLANTS,4,233
NIPPON STEEL,DENIES,CHINA JAPANESE PLANTS,4,234
NIPPON STEEL,DENIES,CHINA SEEKING PLANTS,4,235
NIPPON STEEL,DENIES,CHINA SEEKING JAPANESE PLANTS,4,236
JARDINE MATHESON,REPLACES,B SHARE BONUS ISSUE Jardine Matheson Holdings Ltd,3,237
JARDINE MATHESON,REPLACES,B SHARE BY BONUS ISSUE Jardine Matheson Holdings Ltd,3,238
JARDINE MATHESON,REPLACES,JARD,3,239
B,REPLACES,SHARE,3,240
BANK,bought,amount,7,241
BANK,bought amount after,opening,7,242
BANK,bought amount after,opening at around 145,7,243
BANK,bought amount after,shortly opening at around 145,7,244
BANK,bought,amount of dollars,7,245
BANK,bought,small amount,7,246
BANK,bought,small amount of dollars,7,247
BANK,bought amount after,shortly opening,7,248
JAPAN,has,BANK,7,249
JAPAN,is at,BANK,7,250
Japan,bought,amount,7,251
Japan,bought,small,7,252
Japan,bought,dollars,7,253
Japan,bought,opening,7,254
INFLATION,is,INDONESIAN,0,255
HIT,DEAL,MORE,3,256
HIT,DEAL,LAWSUITS,3,257
HIT,DEAL,bid,3,258
TRADERS,is,FRENCH,2,259
EC,is,2,2,260
DUTCH,has,PROFIT,0,261
DUTCH,is at,PROFIT,0,262
PROFIT,owned,state,0,263
PROFIT,owned,Dutch,0,264
PROFIT,owned,chemical,0,265
PROFIT,owned,firm,0,266
POEHL,WARNS,would risky,7,267
POEHL WARNS,would damage,prospects for sustained German growth,7,268
POEHL WARNS,would damage,prospects for German growth,7,269
POEHL WARNS,would damage,prospects for West German economic growth,7,270
FURTHER DOLLAR FALL Bundesbank President Karl Otto Poehl,said,weaker dollar,7,271
AGAINST FURTHER DOLLAR FALL Bundesbank President Karl Otto Poehl said,be,risky,7,272
AGAINST DOLLAR FALL Bundesbank President Karl Otto Poehl said,be,risky,7,273
POEHL WARNS,would damage,prospects for West German growth,7,274
POEHL WARNS,would damage,prospects for economic growth,7,275
POEHL WARNS,would damage,prospects for sustained West German growth,7,276
POEHL WARNS,would damage,prospects for German economic growth,7,277
DOLLAR FALL Bundesbank President Karl Otto Poehl,said,dollar,7,278
POEHL WARNS,would damage,prospects,7,279
FURTHER DOLLAR FALL Bundesbank President Karl Otto Poehl said,be,risky,7,280
FURTHER DOLLAR FALL Bundesbank President Karl Otto Poehl,said,dollar,7,281
DOLLAR FALL Bundesbank President Karl Otto Poehl said,be,risky,7,282
POEHL WARNS,would damage,prospects for growth,7,283
POEHL,WARNS,would risky,7,284
DOLLAR FALL Bundesbank President Karl Otto Poehl,said,weaker dollar,7,285
POEHL WARNS,would damage,prospects for sustained growth,7,286
CINCINNATI BELL,has started,its announced 15,3,287
it,has started,its previously announced 15,3,288
CINCINNATI BELL,has started,its previously announced 15,3,289
it,has started,its announced 15,3,290
Inc,has,it,3,291
increased investment,is in,research,3,292
Inc,expects,first,3,293
cts,Pay,Record,5,294
cts,Pay,prior,5,295
UNILEVER,SEEKS,BUYER FOR STAUFFER CHEMICAL Unilever Plc,3,296
UNILEVER,SEEKS,BUYER,3,297
CORP,HAS,IT,3,298
CORP,HAS,PARTIES,3,299
CONRAC,has started,negotiations with parties,3,300
CONRAC,has started,negotiations with parties on its possible acquisition,3,301
CONRAC,has started,negotiations on its possible acquisition,3,302
CAX,is IN,MERGER,3,303
CONRAC,has started,negotiations,3,304
CONRAC,has started,negotiations with several interested parties on its possible acquisition,3,305
CONRAC,has started,negotiations with several parties,3,306
CONRAC,has started,negotiations with several interested parties,3,307
CONRAC,has started,negotiations with interested parties on its possible acquisition,3,308
CONRAC,has started,negotiations with several parties on its possible acquisition,3,309
negotiations,is with,several interested parties,3,310
CAX,TALKS WITH,SEVERAL Conrac Corp sait,3,311
CONRAC,has started,negotiations with interested parties,3,312
Tug crews,is in,New South Wales,4,313
two sides,is in,Rotterdam port general cargo dispute,1,314
CHAIRMAN,is,INDEPENDENT,1,315
it,continue,year comparisons in remaining quarter of 1987,3,316
it,continue,year to year comparisons in remaining quarter of 1987,3,317
it,continue,favorable year comparisons in remaining quarter of 1987,3,318
it,expects,to continue,3,319
it,continue,recording favorable year comparisons in remaining quarter of 1987,3,320
it,continue,recording favorable year to year comparisons in remaining quarter of 1987,3,321
it,continue,favorable year to year comparisons in remaining quarter of 1987,3,322
it,continue,recording year to year comparisons in remaining quarter of 1987,3,323
it,continue,recording year comparisons in remaining quarter of 1987,3,324
recording favorable year comparisons,is in,remaining quarter of 1987,3,325
Shr,given,cts,5,326
Shr,given,Net,5,327
Shr,given,1st,5,328
Shr,given,half,5,329
UNEMPLOYMENT,was,steady,0,330
SWEDISH UNEMPLOYMENT,was steady at,2,0,331
SWEDISH UNEMPLOYMENT,was,steady,0,332
UNEMPLOYMENT,was steady at,2,0,333
UNEMPLOYMENT,is,SWEDISH,0,334
UNEMPLOYMENT,was,unemployment,0,335
UNEMPLOYMENT,was,steady,0,336
PROXMIRE,OUTLINES,D Wis,3,337
he,introduce,legislation,3,338
legislation,require disclosure for,shareholders,3,339
PROXMIRE,OUTLINES,INSIDER TRADING LEGISLATION Senate Banking Committee Chairman William Proxmire,3,340
TROY,has,HELEN,5,341
HELEN,is at,TROY,5,342
today,has,meetings of major industrial countries,7,343
its earnings,is in,1987,3,344
YEAR Mead Corp,augurs well for,its earnings in 1987,3,345
YEAR Mead Corp,augurs well for,its earnings,3,346
YEAR Mead Corp,augurs for,its earnings,3,347
YEAR Mead Corp,augurs for,its earnings in 1987,3,348
Corp,has,it,3,349
Corp,has,distributor,3,350
Corp,has,undisclosed,3,351
Corp,has,products,3,352
NET,WORK,Shr,5,353
NET,WORK,Net,5,354
NET,WORK,cts,5,355
BASHAW,is,CANADIAN,3,356
Ltd,said,Resources,3,357
it,said had,quarter loss,3,358
it,said had,report,3,359
it,said had,"first quarter loss of 104,357 dlrs",3,360
it,said had,"quarter loss of 104,357 dlrs",3,361
it,said had quarter loss after,"incurring 70,000 dlrs in costs",3,362
it,said had,report for shareholders for London offices,3,363
it,said had,report for shareholders for opening London offices,3,364
it,said had,report for shareholders,3,365
it,said had,report for opening London offices,3,366
it,said had,first quarter loss,3,367
it,said had report after,"incurring 70,000 dlrs in costs",3,368
it,said had report after,"70,000 dlrs",3,369
"incurring 70,000 dlrs",is in,costs for internal audit,3,370
it,said had quarter loss after,"70,000 dlrs in costs",3,371
it,said had quarter loss after,"70,000 dlrs",3,372
"24,000 dlrs",is in,startup expenses,3,373
it,said had quarter loss after,"incurring 70,000 dlrs",3,374
it,said had report after,"70,000 dlrs in costs",3,375
it,said had report after,"incurring 70,000 dlrs",3,376
it,said had,report for London offices,3,377
Inc,said,first,3,378
Inc,said,quarter,3,379
Inc,said,loss,3,380
Inc,said,internal,3,381
Inc,said,dlrs,3,382
SUGAR BEET PLANTING HALF,FINISHED,"half of year 's 130,000 hectare Dutch sugar beet crop",2,383
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"half of year 's 130,000 hectare sugar beet crop",2,384
SUGAR BEET PLANTING HALF,FINISHED,half,2,385
DUTCH SUGAR BEET PLANTING HALF,FINISHED,Roughly half,2,386
SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's expected 130,000 hectare sugar beet crop",2,387
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's expected 130,000 hectare Dutch sugar beet crop",2,388
SUGAR BEET PLANTING HALF,FINISHED,"half of year 's 130,000 hectare sugar beet crop",2,389
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"half of year 's 130,000 hectare Dutch sugar beet crop",2,390
SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's 130,000 hectare sugar beet crop",2,391
DUTCH SUGAR BEET PLANTING HALF,FINISHED,half,2,392
SUGAR BEET PLANTING HALF,FINISHED,"half of year 's expected 130,000 hectare Dutch sugar beet crop",2,393
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's 130,000 hectare Dutch sugar beet crop",2,394
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's expected 130,000 hectare sugar beet crop",2,395
SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's expected 130,000 hectare Dutch sugar beet crop",2,396
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"half of year 's expected 130,000 hectare sugar beet crop",2,397
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's 130,000 hectare sugar beet crop",2,398
largest sugar processor,is in,Netherlands,2,399
SUGAR BEET PLANTING HALF,FINISHED,Roughly half,2,400
SUGAR BEET PLANTING HALF,FINISHED,"Roughly half of year 's 130,000 hectare Dutch sugar beet crop",2,401
SUGAR BEET PLANTING HALF,FINISHED,"half of year 's expected 130,000 hectare sugar beet crop",2,402
DUTCH SUGAR BEET PLANTING HALF,FINISHED,"half of year 's expected 130,000 hectare Dutch sugar beet crop",2,403
SUGAR,is,DUTCH,2,404
it,granted export licences for,"118,350 tonnes of current series white sugar",2,405
it,granted export licences at,export rebate of 46,2,406
it,granted export licences at,export rebate,2,407
it,granted export licences for,"118,350 tonnes of series sugar",2,408
it,granted export licences for,"118,350 tonnes of series white sugar",2,409
it,granted,export licences,2,410
it,granted export licences for,"118,350 tonnes",2,411
it,granted export licences at,maximum export rebate,2,412
it,granted export licences at,maximum export rebate of 46,2,413
it,granted export licences for,"118,350 tonnes of current series sugar",2,414
70 mln dlrs,is in,cash,3,415
Corp,said,long,3,416
Corp,said,term,3,417
MARKETS,ends,QTR,5,418
MARKETS,ends,Net,5,419
MARKETS,ends,NET,5,420
Corp,has,it,3,421
Corp,has,number,3,422
Corp,has,aggregate,3,423
Corp,has,security,3,424
MEDICAL,is,UNIVERSAL,5,425
shareholkders,have approved,"acquisition of its advisor for 600,000 shares",3,426
shareholkders,have approved,"acquisition for 600,000 shares",3,427
shareholkders,have approved,acquisition of its advisor,3,428
shareholkders,have approved,acquisition,3,429
Trust,said,shareholkders,3,430
1986/87 coarse grain crop,is in,week,2,431
COARSE GRAIN LOSSES,FEARED,Argentine grain producers,2,432
FURTHER ARGENTINE COARSE GRAIN LOSSES,FEARED,Argentine grain producers,2,433
FURTHER COARSE GRAIN LOSSES,FEARED,Argentine grain producers,2,434
ARGENTINE COARSE GRAIN LOSSES,FEARED,Argentine grain producers,2,435
unemployment,rose,to end March,0,436
unemployment,rose,"to end March to total 693,000 from 690,600 at end February",0,437
adjusted unemployment,rose,"end March to total 693,000 from 690,600 at end February",0,438
adjusted unemployment,rose,end March,0,439
adjusted unemployment,rose,"to end March to total 693,000 from 690,600",0,440
unemployment,rose,to end March at end February,0,441
unemployment,rose,"to end March to total 693,000 at end February",0,442
adjusted unemployment,rose,"to end March from 690,600 at end February",0,443
adjusted unemployment,rose,"end March to total 693,000 from 690,600",0,444
adjusted unemployment,rose in,month,0,445
adjusted unemployment,rose,"end March from 690,600",0,446
adjusted unemployment,rose,"to end March from 690,600",0,447
unemployment,rose,"end March from 690,600 at end February",0,448
unemployment,rose,end March at end February,0,449
adjusted unemployment,rose,"to end March to total 693,000",0,450
adjusted unemployment,rose,to end March,0,451
unemployment,rose,"to end March from 690,600 at end February",0,452
adjusted unemployment,rose,"end March from 690,600 at end February",0,453
adjusted unemployment,rose,to end March at end February,0,454
adjusted unemployment,rose,"end March to total 693,000",0,455
unemployment,rose,"end March to total 693,000 at end February",0,456
adjusted unemployment,rose,"end March to total 693,000 at end February",0,457
unemployment,rose,"end March to total 693,000 from 690,600 at end February",0,458
adjusted unemployment,rose,"to end March to total 693,000 from 690,600 at end February",0,459
unemployment,rose,"end March to total 693,000 from 690,600",0,460
unemployment,rose,"to end March from 690,600",0,461
unemployment,rose,"to end March to total 693,000",0,462
unemployment,rose,"to end March to total 693,000 from 690,600",0,463
adjusted unemployment,rose,"to end March to total 693,000 at end February",0,464
unemployment,rose,end March,0,465
unemployment,rose,"end March from 690,600",0,466
unemployment,rose in,month,0,467
unemployment,rose,"end March to total 693,000",0,468
adjusted unemployment,rose,end March at end February,0,469
Top officials,TALKS arrived at,U,7,470
TOP OFFICIALS,ARRIVE AT,TREASURY,7,471
TOP OFFICIALS,ARRIVE FOR,G 5,7,472
officials,TALKS arrived at,U,7,473
G,TALKS,Top,7,474
G,TALKS,officials,7,475
G,TALKS,industrial,7,476
G,TALKS,nations,7,477
said,SET,CUSTOMER,0,478
said,SET,REPURCHASES,0,479
said,SET,temporary,0,480
said,SET,government,0,481
Reader,has,Digest Association Inc,3,482
READER 'S DIGEST ASSOCIATION,SELLS,UNIT,3,483
Inc,said,subsidiary,3,484
merger,is with,Bristol Myers Co,3,485
Inc,has,it,3,486
Inc,has,sale,3,487
Inc,has,undisclosed,3,488
Inc,has,subsidiary,3,489
FINANCIAL,is,0,5,490
TEXTILE CALLS,REPORT,BURLINGTON RUMOR DOMINION TEXTILE,3,491
TEXTILE CALLS,REPORT,FOR BURLINGTON RUMOR DOMINION TEXTILE,3,492
